Wavelength,A
300,0.930483
301,0.967643
302,1.00597
303,1.04549
304,1.08623
305,1.12821
306,1.17147
307,1.21602
308,1.26188
309,1.3091
310,1.35769
311,1.40768
312,1.4591
313,1.51198
314,1.56633
315,1.62219
316,1.67959
317,1.73855
318,1.7991
319,1.86127
320,1.92508
321,1.99057
322,2.05776
323,2.12667
324,2.19734
325,2.2698
326,2.34406
327,2.42017
328,2.49814
329,2.57801
330,2.65981
331,2.74355
332,2.82928
333,2.91701
334,3.00678
335,3.09861
336,3.19253
337,3.28857
338,3.38676
339,3.48712
340,3.58968
341,3.69447
342,3.80152
343,3.91085
344,4.0225
345,4.13648
346,4.25282
347,4.37156
348,4.49272
349,4.61631
350,4.74238
351,4.87095
352,5.00204
353,5.13568
354,5.27189
355,5.4107
356,5.55213
357,5.69622
358,5.84298
359,5.99244
360,6.14462
361,6.29955
362,6.45724
363,6.61774
364,6.78105
365,6.9472
366,7.11621
367,7.28811
368,7.46292
369,7.64066
370,7.82135
371,8.00501
372,8.19167
373,8.38134
374,8.57404
375,8.7698
376,8.96864
377,9.17056
378,9.37561
379,9.58378
380,9.7951
381,10.0096
382,10.2273
383,10.4481
384,10.6722
385,10.8996
386,11.1302
387,11.364
388,11.6012
389,11.8416
390,12.0853
391,12.3324
392,12.5828
393,12.8366
394,13.0938
395,13.3543
396,13.6182
397,13.8855
398,14.1563
399,14.4304
400,14.708
401,14.9891
402,15.2736
403,15.5616
404,15.853
405,16.148
406,16.4464
407,16.7484
408,17.0538
409,17.3628
410,17.6753
411,17.9913
412,18.3108
413,18.6339
414,18.9605
415,19.2907
416,19.6244
417,19.9617
418,20.3026
419,20.647
420,20.995
421,21.3465
422,21.7016
423,22.0603
424,22.4225
425,22.7883
426,23.1577
427,23.5307
428,23.9072
429,24.2873
430,24.6709
431,25.0581
432,25.4489
433,25.8432
434,26.2411
435,26.6425
436,27.0475
437,27.456
438,27.8681
439,28.2836
440,28.7027
441,29.1253
442,29.5515
443,29.9811
444,30.4142
445,30.8508
446,31.2909
447,31.7345
448,32.1815
449,32.632
450,33.0859
451,33.5432
452,34.004
453,34.4682
454,34.9358
455,35.4068
456,35.8811
457,36.3588
458,36.8399
459,37.3243
460,37.8121
461,38.3031
462,38.7975
463,39.2951
464,39.796
465,40.3002
466,40.8076
467,41.3182
468,41.832
469,42.3491
470,42.8693
471,43.3926
472,43.9192
473,44.4488
474,44.9816
475,45.5174
476,46.0563
477,46.5983
478,47.1433
479,47.6913
480,48.2423
481,48.7963
482,49.3533
483,49.9132
484,50.476
485,51.0418
486,51.6104
487,52.1818
488,52.7561
489,53.3332
490,53.9132
491,54.4958
492,55.0813
493,55.6694
494,56.2603
495,56.8539
496,57.4501
497,58.0489
498,58.6504
499,59.2545
500,59.8611
501,60.4703
502,61.082
503,61.6962
504,62.3128
505,62.932
506,63.5535
507,64.1775
508,64.8038
509,65.4325
510,66.0635
511,66.6968
512,67.3324
513,67.9702
514,68.6102
515,69.2525
516,69.8969
517,70.5435
518,71.1922
519,71.843
520,72.4959
521,73.1508
522,73.8077
523,74.4666
524,75.1275
525,75.7903
526,76.4551
527,77.1217
528,77.7902
529,78.4605
530,79.1326
531,79.8065
532,80.4821
533,81.1595
534,81.8386
535,82.5193
536,83.2017
537,83.8856
538,84.5712
539,85.2584
540,85.947
541,86.6372
542,87.3288
543,88.0219
544,88.7165
545,89.4124
546,90.1097
547,90.8083
548,91.5082
549,92.2095
550,92.912
551,93.6157
552,94.3206
553,95.0267
554,95.7339
555,96.4423
556,97.1518
557,97.8623
558,98.5739
559,99.2864
560,100
561,100.715
562,101.43
563,102.146
564,102.864
565,103.582
566,104.301
567,105.02
568,105.741
569,106.462
570,107.184
571,107.906
572,108.63
573,109.354
574,110.078
575,110.803
576,111.529
577,112.255
578,112.982
579,113.709
580,114.436
581,115.164
582,115.893
583,116.622
584,117.351
585,118.08
586,118.81
587,119.54
588,120.27
589,121.001
590,121.731
591,122.462
592,123.193
593,123.924
594,124.655
595,125.386
596,126.118
597,126.849
598,127.58
599,128.312
600,129.043
601,129.774
602,130.505
603,131.236
604,131.966
605,132.697
606,133.427
607,134.157
608,134.887
609,135.617
610,136.346
611,137.075
612,137.804
613,138.532
614,139.26
615,139.988
616,140.715
617,141.441
618,142.167
619,142.893
620,143.618
621,144.343
622,145.067
623,145.79
624,146.513
625,147.235
626,147.957
627,148.678
628,149.398
629,150.117
630,150.836
631,151.554
632,152.271
633,152.988
634,153.704
635,154.418
636,155.132
637,155.845
638,156.558
639,157.269
640,157.979
641,158.689
642,159.397
643,160.104
644,160.811
645,161.516
646,162.221
647,162.924
648,163.626
649,164.327
650,165.028
651,165.726
652,166.424
653,167.121
654,167.816
655,168.51
656,169.203
657,169.895
658,170.586
659,171.275
660,171.963
661,172.65
662,173.335
663,174.019
664,174.702
665,175.383
666,176.063
667,176.741
668,177.419
669,178.094
670,178.769
671,179.441
672,180.113
673,180.783
674,181.451
675,182.118
676,182.783
677,183.447
678,184.109
679,184.77
680,185.429
681,186.087
682,186.743
683,187.397
684,188.05
685,188.701
686,189.35
687,189.998
688,190.644
689,191.288
690,191.931
691,192.572
692,193.211
693,193.849
694,194.484
695,195.118
696,195.75
697,196.381
698,197.009
699,197.636
700,198.261
701,198.884
702,199.506
703,200.125
704,200.743
705,201.359
706,201.972
707,202.584
708,203.195
709,203.803
710,204.409
711,205.013
712,205.616
713,206.216
714,206.815
715,207.411
716,208.006
717,208.599
718,209.189
719,209.778
720,210.365
721,210.949
722,211.532
723,212.112
724,212.691
725,213.268
726,213.842
727,214.415
728,214.985
729,215.553
730,216.12
731,216.684
732,217.246
733,217.806
734,218.364
735,218.92
736,219.473
737,220.025
738,220.574
739,221.122
740,221.667
741,222.21
742,222.751
743,223.29
744,223.826
745,224.361
746,224.893
747,225.423
748,225.951
749,226.477
750,227
751,227.522
752,228.041
753,228.558
754,229.073
755,229.585
756,230.096
757,230.604
758,231.11
759,231.614
760,232.115
761,232.615
762,233.112
763,233.606
764,234.099
765,234.589
766,235.078
767,235.564
768,236.047
769,236.529
770,237.008
771,237.485
772,237.959
773,238.432
774,238.902
775,239.37
776,239.836
777,240.299
778,240.76
779,241.219
780,241.675
781,242.13
782,242.582
783,243.031
784,243.479
785,243.924
786,244.367
787,244.808
788,245.246
789,245.682
790,246.116
791,246.548
792,246.977
793,247.404
794,247.829
795,248.251
796,248.671
797,249.089
798,249.505
799,249.918
800,250.329
801,250.738
802,251.144
803,251.548
804,251.95
805,252.35
806,252.747
807,253.142
808,253.535
809,253.925
810,254.314
811,254.7
812,255.083
813,255.465
814,255.844
815,256.221
816,256.595
817,256.968
818,257.338
819,257.706
820,258.071
821,258.434
822,258.795
823,259.154
824,259.511
825,259.865
826,260.217
827,260.567
828,260.914
829,261.259
830,261.602
